,Date,Volume,Open,High,Low,Close,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,MACD_Line,MACD_Signal,MACD_Hist,RSI_7,RSI_14,RSI_21,ROC_12,ATR_14,BB_Middle_20,BB_Upper_20,BB_Lower_20,StochK_14,StochD_14,KDJ_K_14,KDJ_D_14,KDJ_J_14,OBV,CMF_20,NADAQ CLOSE
39,2025-07-11,193633300.0,163.715,167.89,163.47,164.92,173.7235,,,172.30487617438146,173.04908222408227,169.81978689018362,-2.4048174310888726,-1.2590797078081029,-1.1457377232807697,29.085409366790373,35.73086601580616,39.26777397772634,-6.033844225400264,4.99798361629928,173.7235,183.44614047955776,164.00085952044225,19.51802731712401,27.899280389216525,19.51802731712401,27.899280389216525,2.755521172938977,755286900.0,0.10759066167202218,20585.53
40,2025-07-10,167704100.0,164.32,164.5,161.61,164.1,172.89,,,171.52345939586894,172.69813782313787,169.76287358779373,-2.7395070701660984,-1.555165180279702,-1.1843418898863964,27.488807775004545,34.724926294578836,38.45337404989418,-7.157001414427155,4.877413357992187,172.89,182.92237286304467,162.8576271369553,13.29138489186411,19.669485609649133,13.29138489186411,19.669485609649133,0.5351834562940638,587582800.0,0.15476978934594912,20630.66
41,2025-07-09,183656400.0,161.22,164.42,161.16,162.88,172.063,,,170.70027278673857,172.3131128104658,169.69438728343758,-3.0678307808942407,-1.8576983004026097,-1.210132480491631,25.097454090701802,33.226142462945276,37.246607015110506,-6.121037463976952,4.761883832421316,172.063,182.54567764105684,161.58032235894314,13.69976062917948,15.503057612722534,13.69976062917948,15.503057612722534,10.09316666209337,403926400.0,0.1250205036088638,20611.34
42,2025-07-08,138133000.0,159.33,160.22,158.39,160.0,171.15,,,169.68119918800156,171.83024564142795,169.59792571842826,-3.519847012594113,-2.1901280428409104,-1.3297189697532024,20.246588762384192,29.9408152658187,34.55838932526713,-7.908368826982848,4.7424635586769375,171.15,182.5045984192817,159.7954015807183,11.576707068129236,12.85595086305761,11.576707068129236,12.85595086305761,9.018219478272488,265793400.0,0.15375650153067189,20418.46
43,2025-07-07,140139000.0,158.2,159.31,157.342,158.24,170.06199999999998,,,168.59156117009664,171.2972948319602,169.48491153217526,-3.9742774276000716,-2.5469579197927428,-1.4273195078073289,17.794469623457132,28.11150383368495,33.02878267059113,-7.342780185033371,4.5935733044857265,170.06199999999998,182.00108680277543,158.12291319722453,8.676278709162434,11.317582135490383,8.676278709162434,11.317582135490383,3.3936718565065362,125654400.0,0.10831170440947312,20412.52
44,2025-07-03,143716100.0,158.37,160.98,157.77,159.34,169.343,,,167.7104601062779,170.82838130913822,169.38396713882028,-4.197272454426951,-2.8770208267195847,-1.3202516277073664,24.465061808759927,30.95103035801249,34.91916100332094,-4.603963359875474,4.494746639879602,169.343,182.06111488844888,156.6248851115511,8.995713893749752,9.749566557013807,8.995713893749752,9.749566557013807,7.488008567221641,269370500.0,0.10927382598806865,20601.1
45,2025-07-02,171224100.0,152.98,157.6,152.97,157.25,168.31199999999998,,,166.71422581044192,170.29589576760338,169.26323114738923,-4.49087513978219,-3.199791689332106,-1.2910834504500843,20.735351164040495,28.636589391630594,33.05761020353168,-8.244836036877112,4.6286933084596305,168.31199999999998,181.4556301962904,155.16836980370957,12.4135895688416,10.028527390584594,12.4135895688416,10.028527390584594,17.183713925355608,98146400.0,0.19018160201883502,20393.13
46,2025-07-01,213143600.0,156.29,157.2,151.49,153.3,167.0135,,,165.43668049516174,169.62939005122678,169.1043930265197,-4.984827384550158,-3.5567988283757166,-1.4280285561744415,15.518790230651362,24.85389731916912,29.89497306332396,-11.084043848964665,4.709500929283942,167.0135,180.71825641596914,153.30874358403085,13.294073899147085,11.567792453912814,13.294073899147085,11.567792453912814,16.746636789615625,-114997200.0,0.12658173394025493,20202.89
47,2025-06-30,194580300.0,158.4,158.66,155.96,157.99,166.1375,,,164.72747282895585,169.1729433825512,168.99380205113144,-4.940888802706837,-3.833616823241941,-1.1072719794648962,37.351442667430256,35.7123443291087,37.36558202683755,-8.67630057803468,4.755965148620802,166.1375,179.79521172172258,152.4797882782774,18.874735168240065,14.860799545409584,18.874735168240065,14.860799545409584,26.902606413901026,79583100.0,0.1920889920232601,20369.73
48,2025-06-27,263234500.0,156.04,158.71,155.255,157.75,165.1875,,,164.06295160715052,168.7249848185296,168.881923423757,-4.869302861915543,-4.040754030976662,-0.8285488309388809,36.78391181180007,35.43020862659701,37.1528530203559,-7.947715469452065,4.663039066576459,165.1875,178.3720777131343,152.0029222868657,21.375003262374566,17.847937443253908,21.375003262374566,17.847937443253908,28.429134900615885,-183651400.0,0.18506451280621963,20273.46
49,2025-06-26,198145700.0,155.975,156.715,154.0,155.02,164.2635,172.31900000000002,,163.20171812075523,168.18753443348925,168.74399383745097,-4.975504157741,-4.22770405632953,-0.7478001014114701,30.61138160731211,32.3039073291032,34.78738312734987,-9.185705916813113,4.5978219903924265,164.2635,177.58473002855507,150.94226997144492,24.351445385924546,21.533727938846393,24.351445385924546,21.533727938846393,29.986880280080847,-381797100.0,0.18040300446424476,20167.91
50,2025-06-25,269146500.0,149.27,154.45,149.26,154.31,163.292,172.0648,,162.35488782354045,167.64331739688183,168.60037200822262,-5.05864757574966,-4.393892760213556,-0.6647548155361038,29.12830684886282,31.524813031148497,34.192891040060445,-5.948680441275056,4.680834705364398,163.292,176.5370898151171,150.0469101848829,22.106380958054217,22.610943202117777,22.106380958054217,22.610943202117777,21.097256469927096,-650943600.0,0.21099433684855826,19973.55
51,2025-06-24,187566100.0,145.56,147.96,145.5,147.9,162.148,171.5896,,160.97823184034613,166.86906965582764,168.39439815739453,-5.577479056232221,-4.630610019417289,-0.946869036814932,19.28642247831675,25.536765682051538,29.42591211780477,-10.320155226776606,4.975775083552656,162.148,176.57000599230554,147.72599400769445,16.47487588358802,20.97756740918893,16.47487588358802,20.97756740918893,7.4694928323862015,-838509700.0,0.22821338981464848,19912.53
